Date,Open,High,Low,Close,Adj Close,Volume
2012-02-01,60.880001,64.959999,60.660000,64.410004,58.762650,1018602500
2012-03-01,64.650002,68.510002,63.230000,67.550003,61.627350,1070054300
2012-04-01,67.480003,68.550003,64.449997,66.760002,61.010002,1056184900
2012-05-01,66.690002,67.629997,60.759998,62.060001,56.714794,1300328800
2012-06-01,60.939999,64.570000,60.040001,64.160004,58.633949,973815200
2012-07-01,64.250000,65.309998,61.860001,64.800003,59.354919,860805100
2012-08-01,65.260002,68.879997,63.910000,68.160004,62.432579,679866200
2012-09-01,68.029999,70.580002,67.419998,68.570000,62.808147,639521900
2012-10-01,68.900002,69.800003,64.650002,64.949997,59.661968,863124200
2012-11-01,65.360001,66.209999,61.310001,65.800003,60.442780,901783900
2012-12-01,66.309998,66.760002,63.580002,65.129997,59.827324,815856000
2013-01-01,66.730003,67.790001,66.169998,66.870003,61.767773,741836700
2013-02-01,67.339996,68.260002,65.959999,67.099998,61.980217,656562100
2013-03-01,66.870003,69.059998,66.540001,68.970001,63.707535,557979300
2013-04-01,69.019997,70.730003,66.879997,70.720001,65.475182,835537700
2013-05-01,70.739998,74.949997,70.250000,73.250000,67.817558,680414200
2013-06-01,73.260002,73.820000,69.150002,71.269997,65.984436,748561600
2013-07-01,71.750000,76.209999,71.349998,75.769997,70.372589,581695700
2013-08-01,76.290001,77.279999,74.959999,75.470001,70.093987,529245500
2013-09-01,76.089996,79.690002,75.540001,78.879997,73.261078,503988800
2013-10-01,78.889999,83.489998,76.349998,82.790001,77.123428,817353700
2013-11-01,83.070000,85.839996,81.370003,85.730003,79.862198,542339400
2013-12-01,85.830002,87.959999,84.050003,87.959999,81.939560,651649200
2014-01-01,87.550003,89.000000,84.760002,86.269997,80.620506,831732700
2014-02-01,86.110001,90.959999,83.739998,90.339996,84.423981,713558700
2014-03-01,89.489998,91.360001,86.400002,87.669998,82.268936,809345400
2014-04-01,88.099998,89.680000,83.279999,87.389999,82.193710,1141398200
2014-05-01,87.529999,91.449997,85.529999,91.309998,85.880623,789193700
2014-06-01,91.419998,94.139999,90.639999,93.910004,88.326042,567012900
2014-07-01,94.239998,97.510002,93.629997,95.019997,89.610168,661530400
2014-08-01,94.820000,99.910004,93.889999,99.779999,94.099174,645904700
2014-09-01,100.019997,100.559998,97.699997,98.790001,93.165527,755958700
2014-10-01,98.510002,101.750000,90.239998,101.400002,95.854431,1285037500
2014-11-01,101.580002,106.250000,100.669998,106.010002,100.212318,434990100
2014-12-01,105.720001,105.919998,99.919998,103.250000,97.603264,815702200
2015-01-01,103.760002,104.580002,99.360001,101.099998,95.926949,826291600
2015-02-01,101.330002,108.940002,99.750000,108.400002,102.853416,472456500
2015-03-01,108.610001,109.419998,104.239998,105.599998,100.196693,633635600
2015-04-01,105.599998,111.160004,104.339996,107.629997,102.357697,568699300
2015-05-01,108.050003,111.080002,106.000000,110.050003,104.659142,518233500
2015-06-01,110.639999,111.129997,106.639999,107.070000,101.825111,577030600
2015-07-01,108.129997,114.389999,105.830002,111.949997,106.710930,644885700
2015-08-01,111.970001,113.000000,84.739998,104.309998,99.428474,1010304800
2015-09-01,101.709999,108.730003,98.750000,101.760002,96.997833,881201500
2015-10-01,101.940002,114.080002,100.480003,113.330002,108.289185,740627200
2015-11-01,113.629997,115.470001,109.480003,114.019997,108.948494,543413300
2015-12-01,114.480003,115.750000,109.379997,111.860001,106.884583,757497500
2016-01-01,109.449997,110.180000,97.250000,104.129997,99.802277,1077308200
2016-02-01,103.629997,104.800003,94.839996,102.500000,98.240005,942259600
2016-03-01,103.480003,110.040001,103.160004,109.199997,104.661545,601605100
2016-04-01,108.540001,111.440002,104.879997,105.720001,101.626755,559253800
2016-05-01,105.989998,110.510002,104.400002,110.339996,106.067863,536482700
2016-06-01,110.000000,110.750000,101.750000,107.540001,103.376297,577926300
2016-07-01,107.489998,115.540001,106.570000,115.230003,111.063591,421072600
2016-08-01,115.309998,118.010002,114.220001,116.440002,112.229828,369269900
2016-09-01,116.480003,119.220001,113.629997,118.720001,114.427399,540756600
2016-10-01,118.570000,119.660004,115.940002,116.989998,113.042465,406941800
2016-11-01,117.190002,119.510002,113.449997,117.500000,113.535240,598118800
2016-12-01,117.459999,121.519997,115.220001,118.480003,114.482185,498414300
2017-01-01,119.269997,125.919998,118.889999,124.570000,120.722633,366254600
2017-02-01,125.449997,130.699997,124.860001,130.020004,126.004311,307437600
2017-03-01,130.850006,132.740005,129.399994,132.380005,128.291428,442963500
2017-04-01,132.490005,136.339996,130.380005,135.990005,132.064056,388248100
2017-05-01,136.440002,141.839996,135.869995,141.289993,137.211060,532489700
2017-06-01,141.580002,143.899994,136.250000,137.639999,133.666428,1046003200
2017-07-01,138.270004,145.960007,135.800003,143.229996,139.473969,705002300
2017-08-01,143.720001,146.210007,140.179993,146.199997,142.366104,810771900
2017-09-01,146.389999,146.589996,142.100006,145.449997,141.635727,631562000
2017-10-01,145.669998,152.369995,144.929993,152.149994,148.484344,549094600
2017-11-01,152.759995,156.690002,150.770004,155.149994,151.412064,584198400
2017-12-01,154.199997,158.770004,152.059998,155.759995,152.007385,622383900
2018-01-01,156.559998,170.949997,156.169998,169.399994,165.664474,698394900
2018-02-01,168.100006,170.729996,150.130005,167.210007,163.522797,1179841200
2018-03-01,167.300003,175.210007,156.039993,160.130005,156.598892,1085306700
2018-04-01,158.990005,167.000000,153.880005,160.940002,157.646378,987380500
2018-05-01,160.520004,171.199997,159.220001,170.070007,166.589523,687987000
2018-06-01,170.919998,177.979996,169.169998,171.649994,168.137177,784338500
